,eventid,iyear,imonth,iday,country,country_txt,region,region_txt,city,latitude,longitude,success,attacktype1,attacktype1_txt,targtype1,targtype1_txt,natlty1,natlty1_txt,weaptype1,weaptype1_txt,weapdetail,nkill,nkillus,nwound,nwoundus,location
2672,197411210002,1974,11,21,603,United Kingdom,8,Western Europe,Birmingham,52.482960999999996,-1.8935919999999997,1,3,Bombing/Explosion,1,Business,216.0,Great Britain,6,Explosives,Explosive,11.0,,81.0,,
2853,197503010001,1975,3,1,104,Kenya,11,Sub-Saharan Africa,Nairobi,-1.28518,36.821107,1,3,Bombing/Explosion,19,Transportation,104.0,Kenya,6,Explosives,Explosive,27.0,,100.0,,
2863,197503050002,1975,3,5,97,Israel,10,Middle East & North Africa,Tel Aviv,32.08297,34.811886,1,5,Hostage Taking (Barricade Incident),1,Business,97.0,Israel,5,Firearms,Automatic firearm; Explosive,18.0,,,,
2955,197504130001,1975,4,13,110,Lebanon,10,Middle East & North Africa,Ain Al-Remmane,33.802845,35.589649,1,2,Armed Assault,17,Terrorists/Non-State Militia,110.0,Lebanon,5,Firearms,No additional information available.,22.0,0.0,,0.0,
2965,197504250002,1975,4,25,130,Mexico,1,North America,Mexico City,19.371887,-99.086624,1,2,Armed Assault,1,Business,130.0,Mexico,5,Firearms,Pistols,12.0,,,,
3166,197508080004,1975,8,8,145,Nicaragua,2,Central America & Caribbean,Managua,12.103822000000001,-86.267014,1,5,Hostage Taking (Barricade Incident),10,Journalists & Media,145.0,Nicaragua,5,Firearms,Automatic firearm,11.0,,,,
3308,197510050003,1975,10,5,11,Argentina,3,South America,Formosa,-26.184895,-58.175415,1,2,Armed Assault,4,Military,11.0,Argentina,5,Firearms,Automatic firearms,26.0,11.0,0.0,,
3385,197511010001,1975,11,1,83,Guatemala,2,Central America & Caribbean,Chiquimula,14.8,-89.55,1,1,Assassination,4,Military,83.0,Guatemala,5,Firearms,Automatic firearm; Pistols,19.0,,0.0,,
3466,197512240003,1975,12,24,11,Argentina,3,South America,Buenos Aires,-34.61768,-58.444435,1,2,Armed Assault,4,Military,11.0,Argentina,5,Firearms,Automatic firearms,92.0,,,,
3473,197512290003,1975,12,29,217,United States,1,North America,New York City,40.697132,-73.931351,1,3,Bombing/Explosion,6,Airports & Aircraft,217.0,United States,6,Explosives,Explosive,11.0,,74.0,,
3850,197605210003,1976,5,21,160,Philippines,5,Southeast Asia,Davao City,7.083241,125.600998,1,4,Hijacking,6,Airports & Aircraft,160.0,Philippines,5,Firearms,Firearm; Grenades,13.0,,25.0,,
3953,197606270001,1976,6,27,78,Greece,8,Western Europe,Athens,37.99749,23.762728,1,4,Hijacking,6,Airports & Aircraft,69.0,France,13,Unknown,,13.0,,,,
3962,197607020001,1976,7,2,11,Argentina,3,South America,Buenos Aires,-34.61768,-58.444435,1,3,Bombing/Explosion,3,Police,11.0,Argentina,6,Explosives,Explosive,25.0,,30.0,,
4092,197608200001,1976,8,20,11,Argentina,3,South America,Buenos Aires,-34.61768,-58.444435,1,2,Armed Assault,17,Terrorists/Non-State Militia,11.0,Argentina,5,Firearms,Automatic firearms; Explosives,30.0,,0.0,,
4198,197610060001,1976,10,6,20,Barbados,2,Central America & Caribbean,Grantly Adams International Airport,13.077333,-59.493007999999996,1,3,Bombing/Explosion,6,Airports & Aircraft,51.0,Cuba,6,Explosives,Explosive,73.0,,0.0,,
5419,197710140002,1977,10,14,145,Nicaragua,2,Central America & Caribbean,San Carlos,11.1236,-84.77795,1,2,Armed Assault,14,Private Citizens & Property,145.0,Nicaragua,5,Firearms,Automatic firearms,13.0,,12.0,,
5434,197710170005,1977,10,17,145,Nicaragua,2,Central America & Caribbean,Managua,12.103822000000001,-86.267014,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearms,11.0,,0.0,,
5602,197712040003,1977,12,4,121,Malaysia,5,Southeast Asia,Unknown,5.2994449999999995,100.46079499999999,1,4,Hijacking,6,Airports & Aircraft,121.0,Malaysia,5,Firearms,Firearm; Firearm,100.0,1.0,0.0,0.0,
5899,197802020002,1978,2,2,145,Nicaragua,2,Central America & Caribbean,Granada,11.92988,-85.95602,1,3,Bombing/Explosion,14,Private Citizens & Property,145.0,Nicaragua,5,Firearms,Automatic firearm; Rifle; Grenade launchers; Bazookas,14.0,,24.0,,
5961,197802170005,1978,2,17,603,United Kingdom,8,Western Europe,Belfast,54.607712,-5.95621,1,3,Bombing/Explosion,1,Business,233.0,Northern Ireland,6,Explosives,Explosive,14.0,,25.0,,
5976,197802190002,1978,2,18,53,Cyprus,8,Western Europe,Nicosia,35.166722,33.367574,1,1,Assassination,10,Journalists & Media,60.0,Egypt,5,Firearms,No additional information available.,16.0,0.0,,0.0,
6106,197803110004,1978,3,11,97,Israel,10,Middle East & North Africa,Haifa,32.793921000000005,34.990615000000005,1,5,Hostage Taking (Barricade Incident),19,Transportation,97.0,Israel,5,Firearms,Automatic firearms,42.0,,76.0,,
6445,197806140003,1978,6,14,83,Guatemala,2,Central America & Caribbean,Guatemala City,14.622869,-90.52906800000001,1,3,Bombing/Explosion,4,Military,83.0,Guatemala,6,Explosives,Claymore mine,17.0,,7.0,,
6475,197806230001,1978,6,23,403,Rhodesia,11,Sub-Saharan Africa,Umtali,-18.966075,32.635359,1,1,Assassination,15,Religious Figures/Institutions,216.0,Great Britain,5,Firearms,Automatic firearm,12.0,,0.0,,
6607,197808130002,1978,8,13,110,Lebanon,10,Middle East & North Africa,Beirut,33.888523,35.503513,1,3,Bombing/Explosion,22,Violent Political Party,155.0,West Bank and Gaza Strip,6,Explosives,Explosive,98.0,,160.0,,
6629,197808190004,1978,8,19,94,Iran,10,Middle East & North Africa,Abadan,30.345996999999997,48.287136,1,7,Facility/Infrastructure Attack,1,Business,94.0,Iran,8,Incendiary,Incendiary,422.0,,0.0,,
6687,197809040003,1978,9,4,403,Rhodesia,11,Sub-Saharan Africa,Kariba,-16.788805,28.853973999999997,1,3,Bombing/Explosion,6,Airports & Aircraft,403.0,Rhodesia,6,Explosives,Surface to air missile,48.0,,,,
6888,197810190002,1978,10,19,205,Thailand,5,Southeast Asia,Huai Yot district,7.773489,99.62299999999999,1,2,Armed Assault,3,Police,205.0,Thailand,5,Firearms,Automatic firearm,14.0,,3.0,,
6912,197810260003,1978,10,26,65,Ethiopia,11,Sub-Saharan Africa,Asmara,15.333513,38.933652,1,2,Armed Assault,4,Military,65.0,Ethiopia,5,Firearms,Automatic firearm,25.0,,,,
6944,197811030001,1978,11,3,160,Philippines,5,Southeast Asia,Guimba,15.660564,120.76857,1,9,Unknown,1,Business,160.0,Philippines,13,Unknown,Weapons; Ambush,16.0,,,,
7057,197811300004,1978,11,30,145,Nicaragua,2,Central America & Caribbean,Achuapa,13.052294999999999,-86.58912099999999,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Unk,34.0,,20.0,,
7256,197901000002,1979,1,0,145,Nicaragua,2,Central America & Caribbean,Unknown,12.509203999999999,-86.661108,1,3,Bombing/Explosion,1,Business,145.0,Nicaragua,6,Explosives,Explosive; Unk,13.0,,0.0,,
7345,197901140004,1979,1,14,138,Myanmar,5,Southeast Asia,Pang San,22.833333,97.466667,1,2,Armed Assault,4,Military,138.0,Myanmar,5,Firearms,Automatic firearm,11.0,,15.0,,
7349,197901140008,1979,1,14,160,Philippines,5,Southeast Asia,General Salipada K. Pendatun,6.796989,124.702591,1,2,Armed Assault,4,Military,160.0,Philippines,5,Firearms,Automatic firearm,19.0,,10.0,,
7602,197902120002,1979,2,12,403,Rhodesia,11,Sub-Saharan Africa,Kariba,-16.788805,28.853973999999997,1,3,Bombing/Explosion,6,Airports & Aircraft,403.0,Rhodesia,6,Explosives,Rocket - SAM7,54.0,,0.0,,
7878,197903200003,1979,3,20,138,Myanmar,5,Southeast Asia,Monqnawng,21.64706,98.12529,1,6,Hostage Taking (Kidnapping),4,Military,138.0,Myanmar,5,Firearms,Automatic firearm,22.0,,6.0,,
7881,197903210002,1979,3,21,145,Nicaragua,2,Central America & Caribbean,Mesas del Cacao,13.789439999999999,-86.012157,1,9,Unknown,4,Military,145.0,Nicaragua,13,Unknown,,22.0,,0.0,,
7942,197903230047,1979,3,23,137,Mozambique,11,Sub-Saharan Africa,Beira,-19.833307,34.849994,1,7,Facility/Infrastructure Attack,21,Utilities,137.0,Mozambique,8,Incendiary,Incendiary,18.0,,0.0,,
8053,197904100003,1979,4,10,137,Mozambique,11,Sub-Saharan Africa,Gorongoza,-18.682775,34.066629,1,2,Armed Assault,14,Private Citizens & Property,137.0,Mozambique,5,Firearms,Automatic firearm,16.0,,0.0,,
8267,197905040008,1979,5,4,61,El Salvador,2,Central America & Caribbean,San Salvador,13.692879999999999,-89.199161,1,3,Bombing/Explosion,15,Religious Figures/Institutions,61.0,El Salvador,5,Firearms,Unk; Explosives,19.0,,,,
8512,197905260004,1979,5,26,145,Nicaragua,2,Central America & Caribbean,Tola,11.43857,-85.93697399999999,1,2,Armed Assault,2,Government (General),145.0,Nicaragua,5,Firearms,Unk,16.0,,,,
8536,197905300003,1979,5,30,205,Thailand,5,Southeast Asia,Nam Som district,17.770278,102.189444,1,3,Bombing/Explosion,4,Military,205.0,Thailand,6,Explosives,Explosive; Automatic firearm; Rocket propelled grenades,27.0,,3.0,,
8700,197906160007,1979,6,16,200,Syria,10,Middle East & North Africa,Aleppo,36.201721,37.14352,1,3,Bombing/Explosion,4,Military,200.0,Syria,5,Firearms,Automatic firearm; Grenades,54.0,,,,
8913,197907140004,1979,7,14,160,Philippines,5,Southeast Asia,Manukan District,8.518432,123.09751999999999,1,9,Unknown,2,Government (General),160.0,Philippines,13,Unknown,Arms,12.0,,0.0,,
8987,197908000008,1979,8,0,8,Angola,11,Sub-Saharan Africa,Unknown,-5.560318,12.190405,1,2,Armed Assault,4,Military,8.0,Angola,5,Firearms,Automatic firearm,18.0,,18.0,,
9154,197908270003,1979,8,27,603,United Kingdom,8,Western Europe,Warrenpoint,54.102813,-6.259412,1,3,Bombing/Explosion,4,Military,216.0,Great Britain,6,Explosives,Land mine; Explosive,18.0,,0.0,,
9156,197908270005,1979,8,27,4,Afghanistan,6,South Asia,Ghazni,33.542621999999994,68.415329,1,3,Bombing/Explosion,19,Transportation,4.0,Afghanistan,6,Explosives,Explosive,50.0,,0.0,,
9504,197910170002,1979,10,17,61,El Salvador,2,Central America & Caribbean,San Marcos,13.658889000000002,-89.18355600000001,1,2,Armed Assault,3,Police,61.0,El Salvador,5,Firearms,Automatic firearm,11.0,,19.0,,
10104,198001270004,1980,1,27,61,El Salvador,2,Central America & Caribbean,Coatepeque,13.926371,-89.502589,1,2,Armed Assault,14,Private Citizens & Property,61.0,El Salvador,5,Firearms,Automatic firearm; Rifle; Pistol,20.0,,1.0,,
10106,198001270006,1980,1,27,208,Tunisia,10,Middle East & North Africa,Gafsa,34.429322,8.786049,1,3,Bombing/Explosion,3,Police,208.0,Tunisia,5,Firearms,Automatic firearm; Rifle; Grenades,41.0,,100.0,,
10130,198001310010,1980,1,31,83,Guatemala,2,Central America & Caribbean,Guatemala City,14.622869,-90.52906800000001,1,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),185.0,Spain,8,Incendiary,Incendiary,37.0,,,,
10159,198002040004,1980,2,4,83,Guatemala,2,Central America & Caribbean,Xemal,15.48666,-90.966438,1,3,Bombing/Explosion,4,Military,83.0,Guatemala,5,Firearms,Automatic firearm; Grenade,11.0,,,,
10161,198002040007,1980,2,4,403,Rhodesia,11,Sub-Saharan Africa,Rusape,-18.537029,32.125422,1,2,Armed Assault,19,Transportation,403.0,Rhodesia,5,Firearms,Automatic firearm,16.0,,78.0,,
10250,198002180012,1980,2,18,200,Syria,10,Middle East & North Africa,Aleppo,36.201721,37.14352,1,3,Bombing/Explosion,19,Transportation,200.0,Syria,5,Firearms,Automatic firearm; Rockets,34.0,,0.0,,
10299,198002260007,1980,2,26,61,El Salvador,2,Central America & Caribbean,Santo Domingo de Guzman,13.717868,-89.798253,1,2,Armed Assault,3,Police,61.0,El Salvador,5,Firearms,Automatic firearm,15.0,,3.0,,
10353,198003070010,1980,3,7,61,El Salvador,2,Central America & Caribbean,San Salvador,13.692879999999999,-89.199161,1,1,Assassination,14,Private Citizens & Property,61.0,El Salvador,5,Firearms,Automatic firearm,12.0,,0.0,,
10354,198003070011,1980,3,7,160,Philippines,5,Southeast Asia,Zamboanga City,6.929089,122.07885,1,3,Bombing/Explosion,1,Business,160.0,Philippines,5,Firearms,Rifle; Grenades,13.0,,14.0,,
10361,198003080006,1980,3,8,61,El Salvador,2,Central America & Caribbean,Suchitoto,13.933732000000001,-89.025836,1,2,Armed Assault,14,Private Citizens & Property,61.0,El Salvador,5,Firearms,Automatic firearm,11.0,,0.0,,
10369,198003090007,1980,3,9,160,Philippines,5,Southeast Asia,Ozamiz,8.157809,123.846756,1,3,Bombing/Explosion,1,Business,160.0,Philippines,6,Explosives,Explosive; Grenade,30.0,,60.0,,
10471,198003170023,1980,3,17,61,El Salvador,2,Central America & Caribbean,Colima,14.060118,-89.134274,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,28.0,,0.0,,
10515,198003240016,1980,3,24,61,El Salvador,2,Central America & Caribbean,Tacachico,13.97556,-89.34,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,25.0,,0.0,,
10539,198003270008,1980,3,27,61,El Salvador,2,Central America & Caribbean,La Libertad,13.48833,-89.32222,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,12.0,,0.0,,
10540,198003270009,1980,3,27,61,El Salvador,2,Central America & Caribbean,Ciudad Barrios,13.766667000000002,-88.266667,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,11.0,,0.0,,
10591,198004020003,1980,4,2,61,El Salvador,2,Central America & Caribbean,El Playon,13.8136,-89.33194,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,13.0,,0.0,,
10624,198004070008,1980,4,7,61,El Salvador,2,Central America & Caribbean,San Vicente,13.641210000000001,-88.785423,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,16.0,,0.0,,
10644,198004100002,1980,4,10,61,El Salvador,2,Central America & Caribbean,Cojutepeque,13.716667000000001,-88.93333299999999,1,2,Armed Assault,14,Private Citizens & Property,61.0,El Salvador,5,Firearms,Automatic firearm,25.0,,0.0,,
10652,198004110001,1980,4,11,205,Thailand,5,Southeast Asia,Bangkok,13.785793,100.560852,1,3,Bombing/Explosion,1,Business,205.0,Thailand,6,Explosives,Explosive,19.0,,25.0,,
10654,198004110003,1980,4,11,61,El Salvador,2,Central America & Caribbean,Tenancingo,13.835529999999999,-88.985462,1,2,Armed Assault,14,Private Citizens & Property,61.0,El Salvador,5,Firearms,Automatic firearm,13.0,,0.0,,
10678,198004130002,1980,4,13,160,Philippines,5,Southeast Asia,Pagadian,7.825203,123.43737800000001,1,3,Bombing/Explosion,14,Private Citizens & Property,160.0,Philippines,6,Explosives,Explosive; Grenade,11.0,,100.0,,
10692,198004150008,1980,4,15,61,El Salvador,2,Central America & Caribbean,Amatepe,13.512220000000001,-89.02611,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,16.0,,0.0,,
10863,198004300007,1980,4,30,61,El Salvador,2,Central America & Caribbean,Santa Ana,13.981479,-89.555717,1,2,Armed Assault,3,Police,61.0,El Salvador,5,Firearms,Automatic firearm,14.0,,2.0,,
10919,198005080002,1980,5,8,153,Pakistan,6,South Asia,Peshawar,34.006004,71.53743,1,3,Bombing/Explosion,3,Police,153.0,Pakistan,6,Explosives,Explosive,17.0,,18.0,,
10967,198005160002,1980,5,16,61,El Salvador,2,Central America & Caribbean,San Miguel,13.491242000000002,-88.17313399999999,1,2,Armed Assault,14,Private Citizens & Property,61.0,El Salvador,5,Firearms,Automatic firearm,19.0,,0.0,,
10971,198005160006,1980,5,16,61,El Salvador,2,Central America & Caribbean,El Triunfo,13.558889,-88.43,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,19.0,,0.0,,
10977,198005170003,1980,5,17,61,El Salvador,2,Central America & Caribbean,El Trifinio,13.553101999999999,-88.432142,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,50.0,,0.0,,
10978,198005170004,1980,5,17,61,El Salvador,2,Central America & Caribbean,Chalatenango,14.04111,-88.938568,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,50.0,,0.0,,
10979,198005170005,1980,5,17,61,El Salvador,2,Central America & Caribbean,El Trifino,13.553101999999999,-88.432142,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,50.0,,0.0,,
11020,198005230008,1980,5,23,61,El Salvador,2,Central America & Caribbean,Acajutla,13.592778,-89.8275,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,11.0,,0.0,,
11046,198005280014,1980,5,28,61,El Salvador,2,Central America & Caribbean,San Marcos,13.658889000000002,-89.18355600000001,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,11.0,,0.0,,
11056,198005300006,1980,5,30,61,El Salvador,2,Central America & Caribbean,Jucuapa,13.516667000000002,-88.383333,1,2,Armed Assault,14,Private Citizens & Property,61.0,El Salvador,5,Firearms,Automatic firearm,26.0,,0.0,,
11057,198005300007,1980,5,30,61,El Salvador,2,Central America & Caribbean,Hacienda Guajoyo,13.482291,-88.712816,1,2,Armed Assault,14,Private Citizens & Property,61.0,El Salvador,5,Firearms,Automatic firearm,20.0,,0.0,,
11087,198006020012,1980,6,2,61,El Salvador,2,Central America & Caribbean,Osicala,13.805691,-88.145787,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,40.0,,100.0,,
11151,198006090012,1980,6,9,61,El Salvador,2,Central America & Caribbean,La Union,13.336944,-87.843889,1,2,Armed Assault,3,Police,61.0,El Salvador,5,Firearms,Automatic firearm,21.0,,0.0,,
11152,198006090013,1980,6,9,61,El Salvador,2,Central America & Caribbean,Sensuntepeque,13.874575,-88.627779,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,18.0,,0.0,,
11284,198006240001,1980,6,24,94,Iran,10,Middle East & North Africa,Ahvaz,31.285505999999998,48.643415999999995,1,3,Bombing/Explosion,14,Private Citizens & Property,94.0,Iran,6,Explosives,Explosive,11.0,,56.0,,
11300,198006250010,1980,6,25,200,Syria,10,Middle East & North Africa,Aleppo,36.201721,37.14352,1,2,Armed Assault,2,Government (General),200.0,Syria,5,Firearms,Automatic firearm,14.0,,0.0,,
11309,198006260006,1980,6,26,61,El Salvador,2,Central America & Caribbean,San Salvador,13.692879999999999,-89.199161,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,25.0,,12.0,,
11315,198006270003,1980,6,27,61,El Salvador,2,Central America & Caribbean,San Ramon,13.682638,-88.926466,1,2,Armed Assault,14,Private Citizens & Property,61.0,El Salvador,5,Firearms,Pistol,16.0,,0.0,,
11484,198007210002,1980,7,21,200,Syria,10,Middle East & North Africa,Aleppo,36.201721,37.14352,1,3,Bombing/Explosion,1,Business,200.0,Syria,6,Explosives,Explosive,11.0,,17.0,,
11529,198007270005,1980,7,27,83,Guatemala,2,Central America & Caribbean,Unknown,15.498381,-90.982067,1,9,Unknown,4,Military,83.0,Guatemala,13,Unknown,,21.0,,,,
11543,198007280012,1980,7,28,83,Guatemala,2,Central America & Caribbean,San Juan Cotzal,15.435278,-91.035556,1,2,Armed Assault,4,Military,83.0,Guatemala,5,Firearms,Automatic firearm,32.0,,6.0,,
11551,198007290007,1980,7,29,83,Guatemala,2,Central America & Caribbean,Unknown,15.498381,-90.982067,1,9,Unknown,4,Military,83.0,Guatemala,13,Unknown,,37.0,,,,
11568,198008020001,1980,8,2,98,Italy,8,Western Europe,Bologna,44.49419,11.346518,1,3,Bombing/Explosion,19,Transportation,98.0,Italy,6,Explosives,Plastic explosive; Explosive - TNT,85.0,,188.0,,
11592,198008070004,1980,8,7,61,El Salvador,2,Central America & Caribbean,Potonico,13.965554000000001,-88.892274,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,47.0,,0.0,,
11596,198008080002,1980,8,8,61,El Salvador,2,Central America & Caribbean,Dulce Nombre de Maria,14.15695,-89.011475,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,23.0,,0.0,,
11617,198008130001,1980,8,13,83,Guatemala,2,Central America & Caribbean,Chisec,15.812560999999999,-90.288358,1,2,Armed Assault,4,Military,83.0,Guatemala,5,Firearms,Automatic firearm,12.0,,4.0,,
11633,198008140013,1980,8,14,61,El Salvador,2,Central America & Caribbean,Miravalle,13.608665,-89.760288,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,16.0,,12.0,,
11636,198008150003,1980,8,15,61,El Salvador,2,Central America & Caribbean,Suchitoto,13.933732000000001,-89.025836,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,300.0,,0.0,,
11642,198008160003,1980,8,16,61,El Salvador,2,Central America & Caribbean,Aguilares,13.957222,-89.189722,1,2,Armed Assault,1,Business,61.0,El Salvador,5,Firearms,Automatic firearm,35.0,,0.0,,
11682,198008210009,1980,8,21,61,El Salvador,2,Central America & Caribbean,Olomega,13.311110000000001,-88.02667,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,17.0,,0.0,,
11726,198008270004,1980,8,27,61,El Salvador,2,Central America & Caribbean,San Salvador,13.692879999999999,-89.199161,1,2,Armed Assault,21,Utilities,61.0,El Salvador,5,Firearms,Automatic firearm,25.0,,0.0,,
11802,198009090001,1980,9,9,61,El Salvador,2,Central America & Caribbean,San Pedro Perulapan,13.786461,-89.045407,1,2,Armed Assault,14,Private Citizens & Property,61.0,El Salvador,5,Firearms,Automatic firearm,60.0,,0.0,,
11814,198009110013,1980,9,11,61,El Salvador,2,Central America & Caribbean,San Martin,13.738762,-89.054916,1,2,Armed Assault,14,Private Citizens & Property,61.0,El Salvador,5,Firearms,Automatic firearm,20.0,,0.0,,
11856,198009130004,1980,9,13,61,El Salvador,2,Central America & Caribbean,Apopa,13.798329999999998,-89.17889,1,2,Armed Assault,20,Unknown,61.0,El Salvador,5,Firearms,Firearm; Burned,11.0,,0.0,,
11889,198009180008,1980,9,18,61,El Salvador,2,Central America & Caribbean,El Moral,13.3825,-88.18333299999999,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,24.0,,6.0,,
11920,198009220007,1980,9,22,61,El Salvador,2,Central America & Caribbean,Santa Ana,13.981479,-89.555717,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,11.0,,1.0,,
11927,198009230005,1980,9,23,61,El Salvador,2,Central America & Caribbean,Guadalupe,13.617851000000002,-88.880287,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,15.0,,0.0,,
11929,198009240001,1980,9,24,61,El Salvador,2,Central America & Caribbean,San Miguel,13.491242000000002,-88.17313399999999,1,2,Armed Assault,20,Unknown,61.0,El Salvador,5,Firearms,Automatic firearm,14.0,,0.0,,
11934,198009260002,1980,9,26,362,West Germany (FRG),8,Western Europe,Munich,48.139126,11.580186,1,3,Bombing/Explosion,20,Unknown,362.0,West Germany (FRG),6,Explosives,Explosive,13.0,,215.0,,
11986,198010030006,1980,10,3,61,El Salvador,2,Central America & Caribbean,San Salvador,13.692879999999999,-89.199161,1,2,Armed Assault,3,Police,61.0,El Salvador,5,Firearms,Automatic firearm,15.0,,0.0,,
12021,198010060007,1980,10,6,61,El Salvador,2,Central America & Caribbean,Ilobasco,13.85,-88.85,1,2,Armed Assault,3,Police,61.0,El Salvador,5,Firearms,Automatic firearm,14.0,,0.0,,
